ID	ouverture	angle	angle	ouverture
130	56.7	28.26357802	12.9	47.84307645
131	56.8	28.39426122	13	47.88631693
132	56.9	28.53611778	13.1	47.92989195
133	57	28.67826816	13.2	47.97380328
134	57.1	28.82071177	13.3	48.01805268
135	57.2	28.95245794	13.4	48.06264192
136	57.3	29.0954638	13.5	48.10757277
137	57.4	29.22772795	13.6	48.14935214
138	57.5	29.36024	13.7	48.19494493
139	57.6	29.50407393	13.8	48.24088453
140	57.7	29.63710093	13.9	48.28717274
141	57.8	29.77037439	14	48.33021129
142	57.9	29.90389382	14.1	48.37717493
143	58	30.03765875	14.2	48.42084003
144	58.1	30.17166872	14.3	48.46848578
145	58.2	30.30592323	14.4	48.5127836
146	58.3	30.44042182	14.5	48.55738732
147	58.4	30.575164	14.6	48.60605487
148	58.5	30.69889125	14.7	48.65130049
149	58.6	30.83409899	14.8	48.69685642
150	58.7	30.96954892	14.9	48.74656055
151	58.8	31.09392371	15	48.79276762
152	58.9	31.22983651	15.1	48.83928945
153	59	31.35463479	15.2	48.88612751
154	59.1	31.47963502	15.3	48.93328324
155	59.2	31.6162288	15.4	48.9807581
156	59.3	31.74165011	15.5	49.02855355
157	59.4	31.86727221	15.6	49.07667104
158	59.5	31.99309475	15.7	49.12511204
159	59.6	32.11911733	15.8	49.17387801
160	59.7	32.2453396	15.9	49.22297044
161	59.8	32.37176116	16	49.27239079
162	59.9	32.49838165	16.1	49.3179821
163	60	32.62520068	16.2	49.3680351
164	60.1	32.75221788	16.3	49.41842033
165	60.2	32.87943286	16.4	49.46913928
166	60.3	33.00684525	16.5	49.51592608
167	60.4	33.12284567	16.6	49.56728883
168	60.5	33.25063387	16.7	49.61898965
169	60.6	33.37861837	16.8	49.66668032
170	60.7	33.49513793	16.9	49.7190333
171	60.8	33.62349612	17	49.76732431
172	60.9	33.74035477	17.1	49.82033496
173	61	33.85737444	17.2	49.86923138
174	61.1	33.98628171	17.3	49.91841914
175	61.2	34.10363858	17.4	49.97241216
176	61.3	34.22115558	17.5	50.02221285
177	61.4	34.35060888	17.6	50.07687732
178	61.5	34.4684612	17.7	50.12729607
179	61.6	34.58647274	17.8	50.17801223
180	61.7	34.70464322	17.9	50.22902697
181	61.8	34.82297233	18	50.28502133
182	61.9	34.9414598	18.1	50.33666419
183	62	35.06010533	18.2	50.38860929
184	62.1	35.17890863	18.3	50.4408578
185	62.2	35.29786939	18.4	50.49341093
186	62.3	35.41698734	18.5	50.54626985
187	62.4	35.53626216	18.6	50.59943576
188	62.5	35.65569358	18.7	50.65290986
189	62.6	35.7633155	18.8	50.70669333
190	62.7	35.88304363	18.9	50.76078738
191	62.8	36.0029275	19	50.81519321
192	62.9	36.11095588	19.1	50.86991202
193	63	36.23113483	19.2	50.92494501
194	63.1	36.3394283	19.3	50.9802934
195	63.2	36.45990126	19.4	51.03595838
196	63.3	36.56845886	19.5	51.08683866
197	63.4	36.68922476	19.6	51.14311143
198	63.5	36.79804552	19.7	51.19970432
199	63.6	36.91910328	19.8	51.25661855
200	63.7	37.02818623	19.9	51.31385535
201	63.8	37.13739304	20	51.36616973
202	63.9	37.25887894	20.1	51.42402572
203	64	37.36834651	20.2	51.48220783
204	64.1	37.47793726	20.3	51.53538468
205	64.2	37.58765096	20.4	51.59419278
206	64.3	37.6974874	20.5	51.64794076
207	64.4	37.80744636	20.6	51.70737935
208	64.5	37.92976641	20.7	51.76170254
209	64.6	38.0399833	20.8	51.82177611
210	64.7	38.15032203	20.9	51.87667861
211	64.8	38.26078237	21	51.93739167
212	64.9	38.3713641	21.1	51.99287759
213	65	38.4697607	21.2	52.05423468
214	65.1	38.58057113	21.3	52.11030813
215	65.2	38.69150231	21.4	52.17231379
216	65.3	38.80255402	21.5	52.22897892
217	65.4	38.91372604	21.6	52.28592726
218	65.5	39.02501815	21.7	52.34889866
